,SEASON,CONTESTANT,CONTESTANT_JOB,CONTESTANT_HEIGHT,HEIGHT_DIFF,HEIGHT_BIN,CONTESTANT_HOMETOWN_CITY,SAME_CITY,SAME_STATE,CONTESTANT_HOMETOWN_STATE,CONTESTANT_REGION,SAME_REGION,AGE_DIFF,AGE_DIFF_MEAN_POOL,AGE_DIFF_BACH_POOL,AGE_DIFF_CAT,CONTESTANT_ELIMWEEK,WINNER
97,9,Claudia Gismondi,Restaurateur,,,4,Boca Raton,0,1,FL,S,0,12.0,-4.307692307692307,7.692307692307693,2,1.0,0
98,9,Carissa Ilburg,Attorney,,,4,Cattaraugus,0,1,NY,N,0,9.0,-1.3076923076923066,7.692307692307693,2,1.0,0
99,9,Britt (Bowe) Newton,Beer chemist,,,4,Columbus,0,1,OH,M,0,6.0,1.6923076923076934,7.692307692307693,2,1.0,0
100,9,Andrea Shirley,Hotel concierge,,,4,Cincinnati,0,1,OH,M,0,6.0,1.6923076923076934,7.692307692307693,2,1.0,0
101,9,April Jacobs,Model,,,4,Chicago,0,1,IL,M,0,11.0,-3.3076923076923066,7.692307692307693,2,1.0,0
102,10,Tessa Horst,Social Worker,,,4,San Francisco,0,1,CA,W,0,4.0,0.23999999999999844,4.239999999999998,2,,1
103,10,Bevin Nicole Powers,Assistant,,,4,Palo Alto,0,1,CA,W,0,2.0,2.2399999999999984,4.239999999999998,2,8.0,0
104,10,Danielle Imwalle,Graphic Designer,,,4,Bethel,0,1,CT,N,1,5.0,-0.7600000000000016,4.239999999999998,2,7.0,0
105,10,Amber Alchalabi,Teacher,,,4,Sugar Land,0,1,TX,S,0,7.0,-2.7600000000000016,4.239999999999998,2,6.0,0
106,10,Stephanie Wilhite,Project Manager,,,4,Overland Park,0,1,KS,M,0,7.0,-2.7600000000000016,4.239999999999998,2,5.0,0
107,10,Tina Wu,Medical student,,,4,Los Angeles,0,1,CA,W,0,4.0,0.23999999999999844,4.239999999999998,2,5.0,0
108,10,Kate Brockhouse,Boutique owner,,,4,Ravenel,0,1,SC,S,0,6.0,-1.7600000000000016,4.239999999999998,2,4.0,0
109,10,Nicole Clary,Sales Manager,,,4,Charleston,0,1,SC,S,0,4.0,0.23999999999999844,4.239999999999998,2,4.0,0
110,10,Stephanie Tipper,Organ donor coordinator,,,4,Folly Beach,0,1,SC,S,0,3.0,1.2399999999999984,4.239999999999998,2,4.0,0
111,10,Amanda Hackney,Financial analyst,,,4,Dallas,0,1,TX,S,0,4.0,0.23999999999999844,4.239999999999998,2,3.0,0
112,10,Erin Parker,Financial analyst,,,4,Logansport,0,1,LA,S,0,6.0,-1.7600000000000016,4.239999999999998,2,3.0,0
113,10,Peyton Wright,Sorority recruiter,,,4,La Vergne,0,1,TN,S,0,6.0,-1.7600000000000016,4.239999999999998,2,3.0,0
114,10,Alexis Young,Attorney,,,4,Southlake,0,1,TX,S,0,4.0,0.23999999999999844,4.239999999999998,2,2.0,0
115,10,Susan Anderson,Boutique manager,,,4,The Woodlands,0,1,TX,S,0,7.0,-2.7600000000000016,4.239999999999998,2,2.0,0
116,10,Tiffany Warren,Medical equipment sales rep,,,4,Boston,0,1,MA,N,1,2.0,2.2399999999999984,4.239999999999998,2,2.0,0
117,10,Blakeney Rowe,Radio sales,,,4,Birmingham,0,1,AL,S,0,1.0,3.2399999999999984,4.239999999999998,2,1.0,0
118,10,Candace DeCost,Waitress,,,4,Hilton Head Island,0,1,SC,S,0,7.0,-2.7600000000000016,4.239999999999998,2,1.0,0
119,10,Catherine Warren,Former Miss Illinois,,,4,Lake Forest,0,1,IL,M,0,7.0,-2.7600000000000016,4.239999999999998,2,1.0,0
120,10,Danielle Vallis,Attorney,,,4,Bronx,0,1,NY,N,1,4.0,0.23999999999999844,4.239999999999998,2,1.0,0
121,10,Jackie Topelli,Executive coordinator,,,4,Minneapolis,0,1,MN,M,0,7.0,-2.7600000000000016,4.239999999999998,2,1.0,0
122,10,Jeanette Alvarez,Health care manager,,,4,Tampa,0,1,FL,S,0,3.0,1.2399999999999984,4.239999999999998,2,1.0,0
123,10,Jessica Devallo,Hedge fund analyst,,,4,New York,0,1,NY,N,1,-2.0,6.239999999999998,4.239999999999998,0,1.0,0
124,10,Linda Malek,Attorney,,,4,Cuyahoga Falls,0,1,OH,M,0,-3.0,7.239999999999998,4.239999999999998,0,1.0,0
125,10,Lindsay Smith,Student,,,4,Lawrence,0,1,KS,M,0,8.0,-3.7600000000000016,4.239999999999998,2,1.0,0
